"","U2OS","MCF7","GAMG","LN229","SF295","HEC108","HEC151","HEC251","HEC265","HEC59","HEC6","ISHIKAWAHERAKLIO02ER","JHUEM2","KLE","MFE319","SNGM","AMO1","BL70","EJM","GDM1","HT","KMS11","KU812","LP1","MC116","MOLM16","NOMO1","NUDUL1","OCIAML3","OCILY10","P3HR1","PL21","RPMI8226","SKM1","SUDHL4","SUDHL5","THP1","U937","WSUDLCL2","RCC10RGB","VMRCRCW","C2BBE1","CL34","CL40","COLO205","COLO320","COLO678","CW2","DLD1","GP2D","HCT116","HCT8","HT115","HT29","HT55","KM12","LOVO","LS123","LS180","LS411N","LS513","MDST8","NCIH508","RCM1","RKO","SKCO1","SNU1040","SNU175","SNU61","SNU81","SNUC2A","SNUC4","SNUC5","SW403","SW48","SW480","SW620","SW948","HEPG2","JHH6","SNU398","SNU449","A549","BEN","CAL12T","CALU3","CALU6","CHAGOK1","COLO668","COLO699","CORL23","CORL279","CORL51","CORL88","DMS273","DV90","EBC1","EPLC272H","HARA","HCC1195","HCC1359","HCC15","HCC1833","HCC2108","HCC2935","HCC33","HCC4006","HCC44","HCC78","HCC827","KNS62","LC1SQSF","LCLC103H","LCLC97TM1","LU65","LU99","LXF289","NCIH1048","NCIH1105","NCIH1299","NCIH1355","NCIH1373","NCIH1435","NCIH1437","NCIH1568","NCIH1573","NCIH1666","NCIH1694","NCIH1755","NCIH1781","NCIH1792","NCIH1793","NCIH1836","NCIH1876","NCIH1915","NCIH1930","NCIH1944","NCIH1963","NCIH1975","NCIH2009","NCIH2023","NCIH2029","NCIH2030","NCIH2073","NCIH2081","NCIH2110","NCIH2122","NCIH2126","NCIH2141","NCIH2172","NCIH2286","NCIH23","NCIH2342","NCIH2405","NCIH3255","NCIH358","NCIH441","NCIH460","NCIH522","NCIH596","NCIH650","NCIH661","NCIH727","NCIH810","NCIH82","NCIH841","RERFLCKJ","SCLC21H","SHP77","SKLU1","SQ1","T3M10","VMRCLCD","KYSE140","KYSE410","KYSE450","A2780","CAOV3","COV318","COV362","COV434","COV644","EFO21","EFO27","HEYA8","IGROV1","JHOC5","JHOM1","JHOS4","OAW42","OV7","OV90","OVCAR4","OVCAR8","OVK18","OVKATE","OVMANA","RKN","RMGI","RMUGS","SKOV3","SNU840","TYKNU","CAPAN2","CFPAC1","HPAC","HUPT4","KP3","PANC0327","PANC1005","PATU8902","QGP1","SUIT2","MSTO211H","NCIH2052","NCIH28","PC3","A375","COLO741","G361","HS852T","HS936T","HS944T","SKMEL1","SKMEL28","SKMEL5","G401","HT1080","AGS","FU97","KE97","MKN7","MKN74","NUGC4","SH10TC","HSC2","SCC9","5637","HT1376","KMBC2","RT4","UMUC3"
"BRD8958",NA,6.1162,NA,5.9763,NA,NA,4.3571,NA,NA,NA,NA,NA,5.1513,NA,NA,NA,6.1849,NA,5.2743,3.1344,NA,3.7198,NA,3.4938,NA,6.8024,6.2139,5.0606,3.1333,5.2494,NA,5.3721,4.6405,4.7172,6.8119,3.4891,4.914,8.0711,4.3523,NA,NA,NA,6.6621,6.7186,NA,4.1811,5.7934,5.9111,NA,NA,6.4183,7.0699,6.6368,6.9606,7.6277,6.3017,6.9804,6.5459,5.8508,NA,NA,6.4663,6.9251,6.9884,7.2546,NA,7.4439,5.469,6.2059,5.2913,NA,6.1513,6.1371,NA,NA,3.7705,5.4093,6.691,6.2611,NA,4.7084,NA,NA,NA,6.8173,NA,NA,NA,NA,5.5617,6.9232,NA,6.3261,NA,NA,NA,NA,NA,NA,5.9511,5.1553,6.822,5.4217,6.2335,6.3566,NA,4.5369,NA,NA,5.8986,NA,NA,NA,NA,NA,NA,NA,NA,4.1676,NA,NA,NA,NA,NA,NA,NA,NA,4.692,7.2915,5.0995,NA,NA,5.8908,5.4006,NA,NA,NA,4.5941,NA,NA,6.5831,NA,5.8237,6.4239,5.246,5.9946,4.7402,NA,5.8698,6.6799,NA,NA,6.2042,NA,7.2575,NA,6.3057,5.9652,NA,6.1681,NA,NA,NA,NA,NA,5.6488,NA,6.8396,NA,5.7713,5.6251,6.0128,NA,NA,NA,NA,5.0029,6.4612,NA,6.6605,4.6052,7.1476,NA,6.3517,NA,5.7116,5.0554,4.7512,NA,6.3187,7.068,5.6131,4.5438,4.1181,4.5208,5.0211,NA,5.5954,5.6463,5.4588,NA,5.8958,6.2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2439,NA,NA,NA,NA,NA,6.4571,6.9922,6.4001,NA,6.3499,7.3619,NA,NA,NA,NA,NA,NA,NA,6.4989,NA,NA,NA,NA,NA
"CIL55A",NA,3.0987,NA,3.1283,NA,NA,1.6345,NA,NA,NA,NA,NA,3.1469,NA,NA,NA,2.9447,NA,3.9991,2.6963,NA,1.5574,NA,3.7133,NA,2.7742,2.323,1.1823,1.4268,3.9581,NA,2.2818,3.2784,2.15,2.9775,2.4747,2.5087,3.145,1.7198,3.5644,NA,NA,3.1225,3.4968,NA,3.3932,3.2864,3.3266,NA,NA,3.3433,3.7809,3.1076,3.3862,4.5122,2.2331,3.012,3.6663,1.4851,NA,NA,3.6625,2.2436,3.1272,2.6961,NA,3.6729,2.9765,3.2645,3.2677,NA,2.2646,2.5941,NA,NA,4.5028,4.2686,2.9936,3.9035,NA,2.5565,NA,NA,NA,2.5022,NA,NA,NA,NA,3.0383,2.9993,NA,2.0026,NA,NA,NA,NA,NA,NA,5.5517,2.5254,3.2848,2.8573,2.8276,3.6834,NA,4.2836,NA,NA,4.2375,NA,NA,NA,NA,NA,NA,NA,NA,2.787,NA,NA,NA,NA,NA,NA,NA,NA,3.6211,3.4454,5.2155,NA,NA,3.4396,3.3005,NA,NA,NA,2.1585,NA,NA,5.841,NA,4.7116,3.5309,2.607,4.5844,3.1548,NA,4.6677,4.9403,NA,NA,1.4493,NA,2.9054,NA,2.7049,3.573,NA,2.629,NA,NA,NA,NA,NA,4.0644,NA,0.30929,NA,2.7156,3.7765,2.8323,NA,NA,NA,NA,2.9372,3.643,NA,3.9519,0.87073,3.133,NA,5.5931,NA,2.3119,5.575,4.8057,NA,6.119,3.6651,3.7268,1.919,2.2799,1.1618,2.0478,NA,1.3411,2.2463,2.8909,NA,3.5432,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8978,NA,NA,NA,NA,NA,4.9694,5.592,2.8903,NA,3.3406,1.0003,NA,NA,NA,NA,NA,NA,NA,2.7611,NA,NA,NA,NA,NA
"GSK-2334470",NA,6.7902,NA,6.6927,NA,NA,NA,NA,NA,NA,NA,NA,7.3867,NA,NA,NA,NA,NA,7.6959,6.4683,NA,NA,NA,NA,NA,7.173,7.0841,7.3615,6.1646,NA,NA,7.2718,6.8801,6.4174,8.4228,7.6936,7.4515,6.0399,6.7659,NA,NA,NA,6.6035,7.51,NA,7.2149,7.2677,7.0843,NA,NA,6.8249,7.2311,7.1234,6.4653,7.7176,7.2995,6.7051,6.9742,NA,NA,NA,7.0435,6.8385,7.165,6.8777,NA,7.1863,6.9266,7.1245,6.3283,NA,7.6839,7.6341,NA,NA,6.5104,6.8437,7.4137,6.924,NA,NA,NA,NA,NA,7.1859,NA,NA,NA,NA,7.0587,7.8304,NA,NA,NA,NA,NA,NA,NA,NA,7.0099,7.7702,6.7975,7.1916,7.3476,7.2381,NA,5.9636,NA,NA,6.8834,NA,NA,NA,NA,NA,NA,NA,NA,8.7724,NA,NA,NA,NA,NA,NA,NA,NA,7.5535,7.5277,6.8886,NA,NA,6.9023,6.9248,NA,NA,NA,NA,NA,NA,6.8178,NA,7.2044,6.9885,7.0614,7.319,7.2722,NA,NA,6.8404,NA,NA,7.1389,NA,7.5887,NA,7.2578,6.1965,NA,6.8888,NA,NA,NA,NA,NA,7.007,NA,NA,NA,6.9969,7.0292,6.437,NA,NA,NA,NA,NA,6.9946,NA,7.0873,6.8245,7.0998,NA,6.8968,NA,NA,6.7947,7.1525,NA,7.0484,7.1512,6.762,NA,NA,6.7565,NA,NA,NA,7.1329,6.3271,NA,6.4581,6.8204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4766,NA,NA,NA,NA,NA,5.9395,6.6834,7.0926,NA,6.6385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEBC",NA,5.4249,NA,5.9549,NA,NA,NA,NA,NA,NA,NA,NA,6.2878,NA,NA,NA,NA,NA,6.5233,5.8151,NA,NA,NA,NA,NA,6.5681,5.5999,7.8797,4.3409,NA,NA,5.3827,5.6319,5.4051,6.6761,5.9285,5.3441,5.9999,5.5349,NA,NA,NA,6.0048,6.5243,NA,6.1964,6.0225,5.8525,NA,NA,6.3628,6.8586,6.1182,6.4451,6.6675,5.7309,6.4016,6.8035,NA,NA,NA,6.5866,6.1947,6.1003,5.9841,NA,6.9384,4.6833,6.1395,5.1674,NA,6.5518,5.7361,NA,NA,6.4236,6.6488,6.1524,6.0394,NA,NA,NA,NA,NA,6.1115,NA,NA,NA,NA,5.8296,7.2162,NA,NA,NA,NA,NA,NA,NA,NA,6.5005,6.6662,6.2096,6.3652,6.365,5.8119,NA,5.8377,NA,NA,6.423,NA,NA,NA,NA,NA,NA,NA,NA,6.4071,NA,NA,NA,NA,NA,NA,NA,NA,6.4319,6.56,6.6342,NA,NA,4.9199,6.0279,NA,NA,NA,NA,NA,NA,6.485,NA,6.3461,5.9732,5.4867,6.1852,6.2635,NA,NA,6.1693,NA,NA,5.123,NA,6.6612,NA,5.7855,6.2912,NA,5.7796,NA,NA,NA,NA,NA,5.8211,NA,NA,NA,6.0929,6.4381,5.6399,NA,NA,NA,NA,NA,6.2572,NA,6.5738,4.5681,6.1056,NA,6.6856,NA,NA,6.2074,6.3224,NA,6.732,6.2307,6.1309,NA,NA,4.724,NA,NA,NA,5.5742,5.0529,NA,5.8161,6.2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6293,NA,NA,NA,NA,NA,6.0639,6.4926,5.9316,NA,6.6066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N9-isopropylolomoucine",NA,4.0022,NA,5.8123,NA,NA,2.7308,NA,NA,NA,NA,NA,4.0103,NA,NA,NA,4.3707,NA,4.6653,3.2155,NA,3.3571,NA,3.603,NA,5.2521,3.8905,2.9923,2.2455,3.4163,NA,2.9387,5.2367,3.2919,3.2304,5.5671,3.6371,3.6363,3.6326,3.6038,NA,NA,4.482,4.485,NA,4.4693,5.2599,4.9157,NA,NA,3.6588,4.2819,5.5317,6.2998,5.4853,4.6154,4.9848,5.5707,3.4485,NA,NA,5.0059,5.1727,4.1656,5.3488,NA,5.3211,4.8259,5.1763,3.5935,NA,4.5373,5.6251,NA,NA,4.8732,5.8053,5.0269,4.4666,NA,3.3715,NA,NA,NA,4.2318,NA,NA,NA,NA,5.1434,5.4164,NA,4.5193,NA,NA,NA,NA,NA,NA,5.0298,8.882,5.1429,4.2117,4.7492,5.5974,NA,3.9249,NA,NA,4.9279,NA,NA,NA,NA,NA,NA,NA,NA,6.302,NA,NA,NA,NA,NA,NA,NA,NA,4.5511,5.4265,6.0701,NA,NA,5.3968,5.1646,NA,NA,NA,4.3405,NA,NA,6.0123,NA,5.6481,4.696,4.7283,5.5462,3.5909,NA,5.8066,5.5619,NA,NA,5.2263,NA,6.4023,NA,5.6214,5.9,NA,4.0643,NA,NA,NA,NA,NA,6.1143,NA,5.3384,NA,5.6905,6.4686,5.853,NA,NA,NA,NA,3.0402,6.5801,NA,7.4182,3.7062,5.0111,NA,4.6837,NA,4.3917,3.6158,5.0608,NA,7.6621,5.7605,5.2447,4.165,3.8385,4.2105,3.3966,NA,5.1607,5.2379,4.0965,NA,4.8631,4.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1144,NA,NA,NA,NA,NA,5.2887,6.5819,6.3096,NA,4.806,4.9671,NA,NA,NA,NA,NA,NA,NA,4.5973,NA,NA,NA,NA,NA
"BML-259",NA,3.9536,NA,5.8168,NA,NA,3.3061,NA,NA,NA,NA,NA,4.1822,NA,NA,NA,4.6064,NA,3.9767,2.8283,NA,3.6999,NA,3.4171,NA,5.3985,3.8659,5.5293,2.3825,4.8041,NA,2.6951,3.8974,3.0836,3.7057,4.9732,3.3821,3.9549,3.2966,4.9262,NA,NA,4.8523,4.5985,NA,3.5597,5.648,4.0148,NA,NA,3.8965,4.6312,5.32,6.4264,4.9664,4.114,5.3272,5.6252,3.7619,NA,NA,5.579,5.0165,4.3512,5.5606,NA,5.0143,4.5083,4.9494,2.7622,NA,2.8745,4.5102,NA,NA,4.7081,5.2786,4.3442,4.2688,NA,2.9569,NA,NA,NA,4.3091,NA,NA,NA,NA,4.797,5.5528,NA,5.2623,NA,NA,NA,NA,NA,NA,4.1209,8.6441,5.3451,3.8572,4.5414,5.1809,NA,3.2503,NA,NA,3.8826,NA,NA,NA,NA,NA,NA,NA,NA,3.6957,NA,NA,NA,NA,NA,NA,NA,NA,3.678,5.5244,5.7406,NA,NA,5.2531,4.3157,NA,NA,NA,2.6668,NA,NA,5.6854,NA,5.2906,4.812,3.6681,6.0007,3.9194,NA,4.9951,5.8155,NA,NA,4.708,NA,6.9581,NA,5.853,5.7792,NA,4.0433,NA,NA,NA,NA,NA,5,NA,4.394,NA,5.0572,5.7613,5.9952,NA,NA,NA,NA,3.8967,5.4665,NA,6.2968,2.8482,5.1091,NA,5.2253,NA,5.3339,3.2764,3.7104,NA,6.7618,5.9705,5.4561,4.1062,3.4455,3.3063,3.8762,NA,5.143,4.7648,4.3618,NA,4.9989,3.9784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1201,NA,NA,NA,NA,NA,5.2056,6.5012,5.9313,NA,5.6696,4.1996,NA,NA,NA,NA,NA,NA,NA,5.6452,NA,NA,NA,NA,NA
"BRD5802",NA,6.1885,NA,6.3883,NA,NA,6.3675,NA,NA,NA,NA,NA,6.3536,NA,NA,NA,6.055,NA,6.1345,7.0706,NA,6.0543,NA,6.4358,NA,5.983,6.7347,4.8767,6.0154,6.2063,NA,6.6764,6.7887,5.9523,6.552,7.2972,6.7605,5.1544,6.2834,7.1067,NA,NA,6.4891,7.0726,NA,6.6596,7.0061,6.5955,NA,NA,6.5459,6.7127,6.8602,6.1536,7.1263,6.3982,6.5538,6.7001,6.3633,NA,NA,6.85,6.5192,6.3715,6.5557,NA,6.9405,5.9574,6.6167,7.1769,NA,6.5413,6.6776,NA,NA,6.3383,6.4366,6.9081,6.6157,NA,6.3713,NA,NA,NA,7.018,NA,NA,NA,NA,6.5989,6.9587,NA,8.8192,NA,NA,NA,NA,NA,NA,6.873,6.9476,6.7384,6.6378,6.7935,6.9313,NA,6.8376,NA,NA,6.686,NA,NA,NA,NA,NA,NA,NA,NA,6.2178,NA,NA,NA,NA,NA,NA,NA,NA,6.6676,6.9915,6.3766,NA,NA,7.0194,6.691,NA,NA,NA,7.0743,NA,NA,6.9326,NA,6.6653,6.7933,6.7084,6.1914,6.6623,NA,6.8865,6.9326,NA,NA,6.333,NA,6.5828,NA,6.8332,6.7614,NA,7.0785,NA,NA,NA,NA,NA,6.5784,NA,6.9188,NA,7.1928,6.9951,6.8212,NA,NA,NA,NA,6.8728,6.7593,NA,6.4648,6.9634,6.5772,NA,6.9895,NA,6.8047,6.9841,6.7378,NA,6.7834,7.0747,6.9957,6.1734,6.8083,5.9875,6.5892,NA,6.8662,6.3558,6.2201,NA,6.8329,6.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5747,NA,NA,NA,NA,NA,6.2659,6.7925,6.985,NA,6.364,5.9675,NA,NA,NA,NA,NA,NA,NA,6.7007,NA,NA,NA,NA,NA
"PF-04217903",NA,6.7997,NA,6.5753,NA,NA,6.2537,NA,NA,NA,NA,NA,6.8911,NA,NA,NA,9.0481,NA,7.1123,6.3606,NA,6.4043,NA,5.3669,NA,7.1991,7.4927,7.844,6.6816,5.7413,NA,6.6145,6.6684,7.1292,6.6779,7.5873,7.1254,6.3247,7.3691,7.7699,NA,NA,7.9562,7.6432,NA,7.8533,6.8745,7.378,NA,NA,6.5792,7.5195,7.3116,7.9938,7.4328,7.2382,6.1627,6.7315,7.6047,NA,NA,7.3004,7.6721,6.9714,7.4593,NA,6.81,7.0299,7.6043,6.7533,NA,7.5008,7.6757,NA,NA,6.4003,6.7298,7.0681,8.2109,NA,6.3685,NA,NA,NA,7.2914,NA,NA,NA,NA,7.1976,8.1122,NA,8.9656,NA,NA,NA,NA,NA,NA,6.9845,7.5447,6.9062,7.4753,6.9174,6.6333,NA,6.6405,NA,NA,6.4826,NA,NA,NA,NA,NA,NA,NA,NA,8.2838,NA,NA,NA,NA,NA,NA,NA,NA,7.0719,6.7718,7.0616,NA,NA,7.1733,6.9735,NA,NA,NA,5.8773,NA,NA,6.22,NA,6.8619,7.0177,7.4203,5.8321,7.4281,NA,8.1545,6.6167,NA,NA,7.0524,NA,6.32,NA,7.4404,6.9831,NA,7.1555,NA,NA,NA,NA,NA,6.5443,NA,7.4467,NA,6.5881,6.96,6.9043,NA,NA,NA,NA,7.0227,7.1603,NA,7.1513,6.8349,7.5531,NA,6.8496,NA,6.7504,6.7277,6.3775,NA,8.0921,7.1214,6.5251,6.1871,6.4633,6.5527,6.7107,NA,6.8764,7.1362,5.8648,NA,6.2895,6.9712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2119,NA,NA,NA,NA,NA,7.665,7.0548,7.3829,NA,6.7455,8.7943,NA,NA,NA,NA,NA,NA,NA,7.6807,NA,NA,NA,NA,NA
"purmorphamine",NA,5.2163,NA,5.6476,NA,NA,5.0498,NA,NA,NA,NA,NA,4.8428,NA,NA,NA,6.2173,NA,5.8206,2.41,NA,3.9803,NA,5.7138,NA,4.2446,4.9238,5.1437,4.989,6.4415,NA,2.1935,4.4104,4.8323,5.1482,5.5566,3.3783,2.926,1.3676,6.6724,NA,NA,6.0811,6.8372,NA,4.4075,5.7117,4.8586,NA,NA,5.6375,6.5975,7.0271,6.6545,6.4198,2.8485,5.566,6.265,5.4768,NA,NA,6.4372,5.5155,5.5965,6.3518,NA,6.1839,6.1149,5.6827,5.7164,NA,5.1325,4.0153,NA,NA,4.1383,4.4499,5.8907,6.6801,NA,6.3451,NA,NA,NA,6.3713,NA,NA,NA,NA,5.6807,7.7436,NA,6.9482,NA,NA,NA,NA,NA,NA,6.8354,8.8225,6.1423,5.2853,5.8428,6.2631,NA,5.4925,NA,NA,5.9149,NA,NA,NA,NA,NA,NA,NA,NA,6.2583,NA,NA,NA,NA,NA,NA,NA,NA,6.4484,6.8459,8.207,NA,NA,5.9977,5.9612,NA,NA,NA,3.4236,NA,NA,6.8268,NA,6.8854,6.1102,5.4774,4.8616,5.4894,NA,7.2,5.645,NA,NA,5.0978,NA,5.5068,NA,6.6049,7.0455,NA,5.829,NA,NA,NA,NA,NA,6.5386,NA,2.5801,NA,5.5352,6.3367,5.844,NA,NA,NA,NA,5.9752,7.08,NA,7.4905,5.7396,6.6021,NA,6.5994,NA,6.207,6.1715,5.5094,NA,7.7671,7.3698,4.8148,4.4414,5.1,6.0341,3.413,NA,6.5502,5.3817,4.2,NA,6.0416,5.8377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2513,NA,NA,NA,NA,NA,7.2842,8.3002,6.5638,NA,5.033,8.3959,NA,NA,NA,NA,NA,NA,NA,7.7616,NA,NA,NA,NA,NA
"panduratin A",NA,1.2137,NA,1.4223,NA,NA,1.3413,NA,NA,NA,NA,NA,1.4428,NA,NA,NA,2.7402,NA,1.9277,0.70974,NA,2.1704,NA,1.7588,NA,2.4297,1.9551,4.0846,1.3779,5.0661,NA,0.92962,0.90409,1.1495,2.7205,3.0684,1.6049,1.3935,1.2496,2.4789,NA,NA,3.4055,4.4162,NA,3.2773,2.4939,1.6045,NA,NA,2.1227,2.1909,1.6675,2.2462,2.2904,2.356,1.8323,2.697,2.2067,NA,NA,2.5527,2.3412,1.9739,2.3641,NA,1.9608,1.9311,2.4003,2.1286,NA,2.1811,1.6461,NA,NA,1.4883,1.2101,2.5375,2.6035,NA,1.5694,NA,NA,NA,1.277,NA,NA,NA,NA,1.6126,3.1533,NA,1.8045,NA,NA,NA,NA,NA,NA,2.0105,1.819,1.6872,2.1049,1.0763,2.4068,NA,2.105,NA,NA,1.8873,NA,NA,NA,NA,NA,NA,NA,NA,0.72413,NA,NA,NA,NA,NA,NA,NA,NA,1.1165,1.5497,1.83,NA,NA,1.1329,0.84044,NA,NA,NA,2.0378,NA,NA,1.1238,NA,1.4862,2.2199,0.88515,4.7636,1.6268,NA,1.5059,2.3098,NA,NA,0.54213,NA,3.1854,NA,1.9231,2.4635,NA,1.5174,NA,NA,NA,NA,NA,0.46557,NA,2.6783,NA,1.6558,2.9759,1.5184,NA,NA,NA,NA,2.0214,1.4719,NA,3.7149,0.26403,2.2879,NA,3.8657,NA,2.5349,1.5953,1.2586,NA,3.1827,3.0041,2.071,1.8001,1.5877,1.383,1.5512,NA,2.47,1.683,1.7666,NA,1.7764,1.4742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9241,NA,NA,NA,NA,NA,2.6358,2.3261,1.9125,NA,1.9051,1.9152,NA,NA,NA,NA,NA,NA,NA,2.7144,NA,NA,NA,NA,NA
"ZM336372",NA,5.2293,NA,6.8665,NA,NA,4.5467,NA,NA,NA,NA,NA,5.9927,NA,NA,NA,5.2576,NA,5.6984,4.8023,NA,3.2436,NA,4.8378,NA,7.7408,6.3242,15.719,4.2,6.7213,NA,4.879,4.9459,2.7436,5.691,7.4318,5.9084,5.0731,5.2542,7.232,NA,NA,5.6792,6.8868,NA,4.5768,6.1824,6.2956,NA,NA,4.815,5.9521,5.344,5.8684,6.0144,5.8422,4.9691,5.6604,4.6923,NA,NA,7.0602,5.966,5.3766,5.6689,NA,6.2944,7.6566,5.6598,5.1685,NA,5.4992,5.2438,NA,NA,4.4298,4.4988,6.3829,5.9252,NA,5.2435,NA,NA,NA,5.401,NA,NA,NA,NA,5.1924,6.8773,NA,6.9056,NA,NA,NA,NA,NA,NA,4.8577,8.5857,4.9819,5.3867,4.5152,5.572,NA,4.8586,NA,NA,6.1068,NA,NA,NA,NA,NA,NA,NA,NA,5.8404,NA,NA,NA,NA,NA,NA,NA,NA,4.6858,6.1806,6.9862,NA,NA,3.8657,4.8208,NA,NA,NA,5.2771,NA,NA,6.3411,NA,6.7461,6.2143,3.741,5.0057,5.1873,NA,5.1525,5.6564,NA,NA,4.6059,NA,8.3951,NA,5.2443,6.6449,NA,5.0729,NA,NA,NA,NA,NA,5.4285,NA,3.6232,NA,6.0842,5.9146,6.809,NA,NA,NA,NA,4.7552,7.2011,NA,6.6003,5.0063,5.8159,NA,6.3321,NA,5.8604,5.5318,5.6163,NA,7.0303,6.3028,4.4044,3.9896,4.4695,5.8947,6.3852,NA,5.1582,5.6873,4.8692,NA,6.1631,5.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.779,NA,NA,NA,NA,NA,5.4996,6.8941,5.7207,NA,6.5394,6.2027,NA,NA,NA,NA,NA,NA,NA,7.2997,NA,NA,NA,NA,NA
"curcumin",NA,4.7117,NA,3.93,NA,NA,NA,NA,NA,NA,NA,NA,3.8931,NA,NA,NA,NA,NA,2.9304,4.1424,NA,NA,NA,NA,NA,3.8332,2.7464,1.7463,1.215,NA,NA,4.4398,2.6029,2.9873,3.6386,4.3827,3.4516,3.3105,2.4508,NA,NA,NA,3.8953,4.8975,NA,4.0761,4.9973,3.9076,NA,NA,2.6634,5.8511,2.303,6.297,3.8257,4.9999,3.1557,4.1572,NA,NA,NA,3.9584,4.8993,4.936,4.6406,NA,4.7614,3.5227,3.8933,3.0949,NA,4.7447,3.9826,NA,NA,3.1533,3.462,3.1249,5.9628,NA,NA,NA,NA,NA,4.6128,NA,NA,NA,NA,3.6584,4.9438,NA,NA,NA,NA,NA,NA,NA,NA,6.108,3.2022,3.8989,4.3285,4.1458,5.078,NA,4.4648,NA,NA,4.6187,NA,NA,NA,NA,NA,NA,NA,NA,2.024,NA,NA,NA,NA,NA,NA,NA,NA,2.6171,4.6098,4.0916,NA,NA,3.8547,3.3806,NA,NA,NA,NA,NA,NA,5.8236,NA,4.987,5.7999,4.3659,5.5597,4.7069,NA,NA,5.5682,NA,NA,3.1536,NA,5.363,NA,3.8977,6.6286,NA,2.9689,NA,NA,NA,NA,NA,4.2347,NA,NA,NA,5.1885,5.429,4.9277,NA,NA,NA,NA,NA,5.1198,NA,6.2999,2.5024,5.6008,NA,4.9224,NA,NA,5.6345,5.6084,NA,6.269,5.9875,3.6136,NA,NA,2.1252,NA,NA,NA,4.9643,4.0864,NA,3.2236,3.1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6965,NA,NA,NA,NA,NA,4.3977,6.2727,3.6617,NA,3.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EX-527",NA,6.5234,NA,6.425,NA,NA,6.3096,NA,NA,NA,NA,NA,7.0231,NA,NA,NA,6.6151,NA,6.876,5.9976,NA,6.6753,NA,6.6903,NA,8.2903,7.1832,8.0303,7.0215,6.3075,NA,6.4472,6.9494,7.1393,7.247,7.7755,7.5997,7.1932,7.32,6.8072,NA,NA,7.4318,7.5248,NA,7.0707,6.7991,6.8478,NA,NA,6.7168,7.2926,7.165,6.8896,7.4943,7.1637,6.7149,6.7171,7.1658,NA,NA,7.0559,7.4732,6.8615,6.9568,NA,6.8714,5.9662,6.8428,6.3323,NA,7.2737,6.9989,NA,NA,6.6239,6.9244,7.8,6.9917,NA,7.3617,NA,NA,NA,6.5784,NA,NA,NA,NA,6.7054,7.5942,NA,7.9972,NA,NA,NA,NA,NA,NA,7.1762,7.7318,6.5457,7.1252,6.8145,6.8102,NA,6.6586,NA,NA,6.9396,NA,NA,NA,NA,NA,NA,NA,NA,6.8047,NA,NA,NA,NA,NA,NA,NA,NA,6.773,6.9813,6.7008,NA,NA,7.2448,6.8672,NA,NA,NA,9.8507,NA,NA,7.1454,NA,6.9673,6.4953,7.2318,6.3976,5.9967,NA,8.3081,6.6414,NA,NA,6.917,NA,7.1741,NA,7.2516,6.9388,NA,7.0356,NA,NA,NA,NA,NA,6.8021,NA,7.5241,NA,7.3316,7.0009,6.6897,NA,NA,NA,NA,6.5062,6.9538,NA,7.0586,6.5858,7.0405,NA,7.0896,NA,6.4459,6.734,6.438,NA,7.5686,7.4234,6.9132,6.1073,6.7249,6.1202,6.893,NA,6.8159,6.6028,5.7732,NA,6.3922,6.9243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9205,NA,NA,NA,NA,NA,7.3177,7.5508,7.3488,NA,6.3434,8.3156,NA,NA,NA,NA,NA,NA,NA,7.1822,NA,NA,NA,NA,NA
